subject,filename,yaw,pitch,l_h_ratio,l_v_ratio,r_h_ratio,r_v_ratio,label
0011,0011_2m_-30P_10V_-15H.jpg,-3.216,33.353,0.498,0.501,0.499,0.499,0
0011,0011_2m_-30P_10V_-5H.jpg,-2.992,31.184,0.500,0.502,0.498,0.499,1
0011,0011_2m_-30P_10V_0H.jpg,179.696,34.450,0.499,0.501,0.498,0.499,1
0011,0011_2m_-30P_10V_10H.jpg,179.645,32.920,0.499,0.502,0.498,0.500,1
0011,0011_2m_-30P_10V_15H.jpg,179.389,33.555,0.500,0.501,0.499,0.501,0
0011,0011_2m_-30P_10V_5H.jpg,179.711,34.334,0.499,0.501,0.498,0.500,1
0011,0011_2m_0P_-10V_-10H.jpg,-3.030,-0.087,0.501,0.500,0.501,0.499,1
0011,0011_2m_0P_-10V_-15H.jpg,-3.459,1.006,0.500,0.501,0.500,0.499,0
0011,0011_2m_0P_-10V_-5H.jpg,-2.292,0.665,0.501,0.500,0.500,0.499,1
0011,0011_2m_0P_-10V_0H.jpg,-2.507,2.046,0.501,0.501,0.500,0.500,1
0011,0011_2m_0P_-10V_10H.jpg,-2.177,3.448,0.501,0.500,0.500,0.500,1
0011,0011_2m_0P_-10V_15H.jpg,-2.323,1.123,0.500,0.501,0.500,0.500,0
0011,0011_2m_0P_-10V_5H.jpg,-2.662,4.273,0.501,0.501,0.500,0.500,1
0011,0011_2m_0P_0V_-10H.jpg,-2.940,3.878,0.500,0.500,0.500,0.499,1
0011,0011_2m_0P_0V_-15H.jpg,-2.958,1.499,0.500,0.500,0.500,0.499,0
0011,0011_2m_0P_0V_-5H.jpg,-2.956,-0.003,0.500,0.501,0.500,0.500,1
0011,0011_2m_0P_0V_0H.jpg,-3.716,0.596,0.501,0.500,0.501,0.500,1
0011,0011_2m_0P_0V_10H.jpg,-2.518,1.933,0.501,0.501,0.500,0.500,1
0011,0011_2m_0P_0V_15H.jpg,-2.826,3.215,0.501,0.500,0.501,0.500,0
0011,0011_2m_0P_0V_5H.jpg,-2.296,0.340,0.501,0.501,0.501,0.500,1
0011,0011_2m_0P_10V_-10H.jpg,-3.229,0.943,0.501,0.501,0.500,0.499,1
0011,0011_2m_0P_10V_-15H.jpg,-3.208,1.616,0.500,0.500,0.500,0.499,0
0011,0011_2m_0P_10V_-5H.jpg,-3.145,4.005,0.501,0.500,0.501,0.499,1
0011,0011_2m_0P_10V_0H.jpg,-2.868,1.472,0.501,0.500,0.501,0.499,1
0011,0011_2m_0P_10V_10H.jpg,-2.901,1.699,0.501,0.500,0.500,0.500,1
0011,0011_2m_0P_10V_15H.jpg,-2.911,2.851,0.501,0.500,0.500,0.500,0
0011,0011_2m_0P_10V_5H.jpg,-3.010,3.764,0.501,0.500,0.501,0.500,1
0011,0011_2m_15P_-10V_-10H.jpg,-3.151,-20.471,0.501,0.502,0.502,0.501,1
0011,0011_2m_15P_-10V_-15H.jpg,-3.255,-20.376,0.502,0.501,0.502,0.501,0
0011,0011_2m_15P_-10V_-5H.jpg,-2.963,-18.279,0.502,0.502,0.501,0.500,1
0011,0011_2m_15P_-10V_0H.jpg,-2.108,-18.775,0.501,0.501,0.502,0.500,1
0011,0011_2m_15P_-10V_10H.jpg,-2.809,-19.871,0.502,0.501,0.502,0.500,1
0011,0011_2m_15P_-10V_15H.jpg,-2.332,-20.274,0.502,0.501,0.501,0.500,0
0011,0011_2m_15P_-10V_5H.jpg,-2.494,-18.854,0.501,0.501,0.502,0.500,1
0011,0011_2m_15P_0V_-10H.jpg,-3.529,-20.743,0.502,0.501,0.502,0.501,1
0011,0011_2m_15P_0V_-15H.jpg,-3.693,-21.532,0.500,0.501,0.502,0.501,0
0011,0011_2m_15P_0V_-5H.jpg,-3.538,-19.833,0.502,0.501,0.502,0.500,1
0011,0011_2m_15P_0V_0H.jpg,-3.840,-19.675,0.502,0.501,0.502,0.499,1
0011,0011_2m_15P_0V_10H.jpg,-2.804,-20.425,0.502,0.501,0.502,0.500,1
0011,0011_2m_15P_0V_15H.jpg,-3.233,-21.171,0.502,0.501,0.501,0.500,0
0011,0011_2m_15P_0V_5H.jpg,-3.396,-21.347,0.502,0.501,0.502,0.500,1
0011,0011_2m_15P_10V_-10H.jpg,-3.979,-22.208,0.501,0.501,0.502,0.499,1
0011,0011_2m_15P_10V_-15H.jpg,-4.050,-21.234,0.501,0.501,0.501,0.501,0
0011,0011_2m_15P_10V_-5H.jpg,-4.017,-20.706,0.502,0.501,0.501,0.499,1
0011,0011_2m_15P_10V_0H.jpg,-3.606,-21.600,0.502,0.500,0.502,0.499,1
0011,0011_2m_15P_10V_10H.jpg,-3.421,-23.101,0.502,0.501,0.502,0.499,1
0011,0011_2m_15P_10V_15H.jpg,-3.283,-23.036,0.502,0.501,0.501,0.500,0
0011,0011_2m_15P_10V_5H.jpg,-3.488,-21.188,0.502,0.501,0.502,0.499,1
0011,0011_2m_30P_-10V_-10H.jpg,176.056,-30.712,0.502,0.502,0.499,0.501,1
0011,0011_2m_30P_-10V_-15H.jpg,176.233,-30.274,0.502,0.501,0.500,0.502,0
0011,0011_2m_30P_-10V_-5H.jpg,176.551,-29.791,0.502,0.501,0.501,0.502,1
0011,0011_2m_30P_-10V_0H.jpg,176.674,-29.639,0.503,0.501,0.501,0.502,1
0011,0011_2m_30P_-10V_10H.jpg,176.518,-30.207,0.503,0.500,0.501,0.501,1
0011,0011_2m_30P_-10V_15H.jpg,175.617,-31.102,0.503,0.499,0.503,0.500,0
0011,0011_2m_30P_-10V_5H.jpg,176.210,-29.918,0.503,0.501,0.501,0.500,1
0011,0011_2m_30P_0V_-10H.jpg,176.635,-31.791,0.503,0.501,0.501,0.502,1
0011,0011_2m_30P_0V_-15H.jpg,176.401,-31.286,0.502,0.501,0.500,0.501,0
0011,0011_2m_30P_0V_-5H.jpg,176.854,-30.182,0.502,0.501,0.501,0.501,1
0011,0011_2m_30P_0V_0H.jpg,175.962,-31.031,0.502,0.501,0.502,0.501,1
0011,0011_2m_30P_0V_10H.jpg,176.651,-32.334,0.503,0.500,0.502,0.500,1
0011,0011_2m_30P_0V_15H.jpg,176.218,-30.537,0.503,0.500,0.502,0.500,0
0011,0011_2m_30P_0V_5H.jpg,176.410,-31.677,0.503,0.500,0.501,0.502,1
0011,0011_2m_30P_10V_-10H.jpg,175.813,-30.820,0.502,0.501,0.502,0.502,1
0011,0011_2m_30P_10V_-15H.jpg,177.014,-31.268,0.502,0.502,0.500,0.502,0
0011,0011_2m_30P_10V_-5H.jpg,176.705,-32.166,0.502,0.502,0.501,0.502,1
0011,0011_2m_30P_10V_0H.jpg,176.244,-31.677,0.502,0.501,0.502,0.501,1
0011,0011_2m_30P_10V_10H.jpg,175.907,-32.283,0.503,0.499,0.502,0.500,1
0011,0011_2m_30P_10V_15H.jpg,175.781,-32.232,0.503,0.498,0.502,0.499,0
0011,0011_2m_30P_10V_5H.jpg,175.848,-31.803,0.503,0.500,0.502,0.501,1
0012,0012_2m_-15P_-10V_-10H.jpg,3.464,24.534,0.499,0.501,0.499,0.500,1
0012,0012_2m_-15P_-10V_-15H.jpg,3.782,24.772,0.499,0.502,0.499,0.500,0
0012,0012_2m_-15P_-10V_-5H.jpg,3.812,25.097,0.499,0.503,0.499,0.500,1
0012,0012_2m_-15P_-10V_0H.jpg,4.070,24.115,0.500,0.504,0.499,0.500,1
0012,0012_2m_-15P_-10V_10H.jpg,4.021,23.314,0.500,0.504,0.498,0.499,1
0012,0012_2m_-15P_-10V_15H.jpg,4.648,23.279,0.500,0.504,0.499,0.499,0
0012,0012_2m_-15P_-10V_5H.jpg,4.295,23.867,0.500,0.505,0.498,0.499,1
0012,0012_2m_-15P_0V_-10H.jpg,4.280,24.423,0.499,0.502,0.499,0.500,1
0012,0012_2m_-15P_0V_-15H.jpg,3.897,24.387,0.499,0.502,0.498,0.499,0
0012,0012_2m_-15P_0V_-5H.jpg,4.776,22.414,0.499,0.502,0.499,0.500,1
0012,0012_2m_-15P_0V_0H.jpg,4.125,22.687,0.499,0.501,0.499,0.500,1
0012,0012_2m_-15P_0V_10H.jpg,4.385,24.623,0.499,0.504,0.498,0.499,1
0012,0012_2m_-15P_0V_15H.jpg,4.527,21.963,0.500,0.503,0.498,0.499,0
0012,0012_2m_-15P_0V_5H.jpg,4.080,24.379,0.500,0.505,0.498,0.499,1
0012,0012_2m_-15P_10V_-10H.jpg,4.086,27.121,0.499,0.500,0.499,0.500,1
0012,0012_2m_-15P_10V_-15H.jpg,3.968,27.817,0.500,0.500,0.499,0.499,0
0012,0012_2m_-15P_10V_-5H.jpg,4.455,28.592,0.500,0.501,0.499,0.499,1
0012,0012_2m_-15P_10V_0H.jpg,5.375,27.466,0.499,0.501,0.500,0.500,1
0012,0012_2m_-15P_10V_10H.jpg,4.354,21.838,0.500,0.502,0.499,0.499,1
0012,0012_2m_-15P_10V_15H.jpg,4.494,20.727,0.499,0.502,0.499,0.498,0
0012,0012_2m_-15P_10V_5H.jpg,4.349,24.840,0.500,0.501,0.500,0.499,1
0012,0012_2m_-30P_-10V_-10H.jpg,5.699,34.402,0.500,0.504,0.498,0.499,1
0012,0012_2m_-30P_-10V_-15H.jpg,5.607,34.569,0.500,0.503,0.499,0.499,0
0012,0012_2m_-30P_-10V_-5H.jpg,5.813,35.022,0.501,0.503,0.499,0.499,1
0012,0012_2m_-30P_-10V_0H.jpg,5.348,36.257,0.501,0.503,0.498,0.499,1
0012,0012_2m_-30P_-10V_10H.jpg,6.242,34.506,0.502,0.505,0.499,0.499,1
0012,0012_2m_-30P_-10V_15H.jpg,5.342,35.202,0.502,0.505,0.499,0.499,0
0012,0012_2m_-30P_-10V_5H.jpg,5.728,33.004,0.501,0.503,0.498,0.499,1
0012,0012_2m_-30P_0V_-10H.jpg,5.786,35.684,0.501,0.504,0.498,0.499,1
0012,0012_2m_-30P_0V_-15H.jpg,5.707,34.196,0.500,0.503,0.499,0.499,0
0012,0012_2m_-30P_0V_-5H.jpg,5.477,34.083,0.500,0.503,0.498,0.500,1
0012,0012_2m_-30P_0V_0H.jpg,4.636,36.203,0.501,0.503,0.498,0.499,1
0012,0012_2m_-30P_0V_10H.jpg,5.135,36.696,0.501,0.503,0.498,0.499,1
0012,0012_2m_-30P_0V_15H.jpg,5.433,36.299,0.501,0.504,0.498,0.499,0
0012,0012_2m_-30P_0V_5H.jpg,4.676,36.364,0.501,0.502,0.498,0.499,1
0012,0012_2m_-30P_10V_-10H.jpg,5.557,34.504,0.500,0.502,0.499,0.499,1
0012,0012_2m_-30P_10V_-15H.jpg,5.358,34.869,0.499,0.503,0.498,0.499,0
0012,0012_2m_-30P_10V_-5H.jpg,6.573,34.309,0.500,0.502,0.498,0.499,1
0012,0012_2m_-30P_10V_0H.jpg,6.810,35.038,0.501,0.502,0.498,0.499,1
0012,0012_2m_-30P_10V_10H.jpg,5.545,37.497,0.501,0.503,0.498,0.499,1
0012,0012_2m_-30P_10V_15H.jpg,5.196,36.052,0.501,0.503,0.500,0.499,0
0012,0012_2m_-30P_10V_5H.jpg,5.482,36.462,0.500,0.503,0.498,0.499,1
0012,0012_2m_0P_-10V_-10H.jpg,3.673,8.106,0.502,0.501,0.500,0.500,1
0012,0012_2m_0P_-10V_-15H.jpg,3.982,5.079,0.502,0.501,0.499,0.499,0
0012,0012_2m_0P_-10V_-5H.jpg,3.627,7.573,0.501,0.501,0.500,0.500,1
0012,0012_2m_0P_-10V_0H.jpg,3.978,7.180,0.502,0.500,0.500,0.500,1
0012,0012_2m_0P_-10V_10H.jpg,4.083,9.131,0.500,0.501,0.500,0.500,1
0012,0012_2m_0P_-10V_15H.jpg,4.599,5.901,0.501,0.503,0.500,0.500,0
0012,0012_2m_0P_-10V_5H.jpg,3.839,9.564,0.501,0.501,0.500,0.500,1
0012,0012_2m_0P_0V_-10H.jpg,4.006,9.785,0.502,0.500,0.500,0.499,1
0012,0012_2m_0P_0V_-15H.jpg,3.737,7.736,0.502,0.501,0.499,0.499,0
0012,0012_2m_0P_0V_-5H.jpg,3.699,8.238,0.500,0.500,0.500,0.499,1
0012,0012_2m_0P_0V_0H.jpg,1.395,2.058,0.502,0.500,0.501,0.500,1
0012,0012_2m_0P_0V_10H.jpg,3.420,6.253,0.501,0.501,0.500,0.499,1
0012,0012_2m_0P_0V_15H.jpg,3.389,7.960,0.501,0.502,0.500,0.499,0
0012,0012_2m_0P_0V_5H.jpg,3.883,9.317,0.501,0.500,0.500,0.500,1
0012,0012_2m_0P_10V_-10H.jpg,1.298,4.638,0.500,0.500,0.501,0.499,1
0012,0012_2m_0P_10V_-15H.jpg,0.933,5.362,0.502,0.499,0.500,0.499,0
0012,0012_2m_0P_10V_-5H.jpg,1.486,5.504,0.501,0.500,0.501,0.499,1
0012,0012_2m_0P_10V_0H.jpg,1.813,5.927,0.501,0.499,0.500,0.499,1
0012,0012_2m_0P_10V_10H.jpg,1.747,3.566,0.502,0.500,0.500,0.499,1
0012,0012_2m_0P_10V_15H.jpg,1.969,4.493,0.501,0.500,0.500,0.499,0
0012,0012_2m_0P_10V_5H.jpg,2.003,6.260,0.501,0.499,0.500,0.499,1
0012,0012_2m_15P_-10V_-10H.jpg,175.963,-19.040,0.502,0.501,0.502,0.502,1
0012,0012_2m_15P_-10V_-15H.jpg,-2.130,-16.448,0.502,0.501,0.501,0.502,0
0012,0012_2m_15P_-10V_-5H.jpg,-1.444,-17.803,0.502,0.501,0.503,0.501,1
0012,0012_2m_15P_-10V_0H.jpg,-1.033,-17.479,0.502,0.501,0.503,0.501,1
0012,0012_2m_15P_-10V_10H.jpg,-0.879,-19.165,0.502,0.501,0.502,0.500,1
0012,0012_2m_15P_-10V_15H.jpg,-1.480,-20.220,0.502,0.501,0.502,0.501,0
0012,0012_2m_15P_-10V_5H.jpg,-1.953,-18.420,0.502,0.500,0.502,0.501,1
0012,0012_2m_15P_0V_-10H.jpg,-1.349,-21.538,0.503,0.500,0.502,0.501,1
0012,0012_2m_15P_0V_-15H.jpg,175.979,-17.978,0.502,0.500,0.503,0.501,0
0012,0012_2m_15P_0V_-5H.jpg,-2.426,-19.335,0.502,0.501,0.503,0.500,1
0012,0012_2m_15P_0V_0H.jpg,-0.094,-25.175,0.502,0.501,0.503,0.501,1
0012,0012_2m_15P_0V_10H.jpg,-1.898,-19.724,0.502,0.501,0.503,0.500,1
0012,0012_2m_15P_0V_15H.jpg,-1.561,-21.106,0.502,0.501,0.502,0.501,0
0012,0012_2m_15P_0V_5H.jpg,-2.107,-19.250,0.502,0.501,0.502,0.500,1
0012,0012_2m_15P_10V_-10H.jpg,-1.850,-21.430,0.502,0.501,0.502,0.500,1
0012,0012_2m_15P_10V_-15H.jpg,-1.885,-21.029,0.502,0.500,0.501,0.501,0
0012,0012_2m_15P_10V_-5H.jpg,-1.429,-24.269,0.502,0.501,0.502,0.500,1
0012,0012_2m_15P_10V_0H.jpg,-0.669,-24.377,0.502,0.501,0.504,0.499,1
0012,0012_2m_15P_10V_10H.jpg,-0.330,-24.667,0.503,0.501,0.504,0.499,1
0012,0012_2m_15P_10V_15H.jpg,-0.468,-25.027,0.503,0.500,0.503,0.499,0
0012,0012_2m_15P_10V_5H.jpg,-0.378,-24.809,0.502,0.501,0.504,0.500,1
0012,0012_2m_30P_-10V_-10H.jpg,179.514,-37.519,0.503,0.500,0.500,0.504,1
0012,0012_2m_30P_-10V_-15H.jpg,178.293,-36.212,0.502,0.500,0.500,0.503,0
0012,0012_2m_30P_-10V_-5H.jpg,0.605,-35.149,0.503,0.502,0.501,0.503,1
0012,0012_2m_30P_-10V_0H.jpg,178.757,-36.467,0.503,0.501,0.500,0.503,1
0012,0012_2m_30P_-10V_10H.jpg,0.422,-36.479,0.503,0.500,0.501,0.502,1
0012,0012_2m_30P_-10V_15H.jpg,0.039,-36.391,0.503,0.500,0.501,0.502,0
0012,0012_2m_30P_-10V_5H.jpg,0.563,-35.965,0.503,0.501,0.502,0.502,1
0012,0012_2m_30P_0V_-10H.jpg,176.278,-33.698,0.503,0.501,0.501,0.503,1
0012,0012_2m_30P_0V_-15H.jpg,-2.382,-31.959,0.503,0.501,0.501,0.503,0
0012,0012_2m_30P_0V_-5H.jpg,-1.653,-32.299,0.503,0.501,0.502,0.502,1
0012,0012_2m_30P_0V_0H.jpg,1.139,-33.639,0.503,0.501,0.502,0.503,1
0012,0012_2m_30P_0V_10H.jpg,-1.500,-31.805,0.503,0.501,0.503,0.501,1
0012,0012_2m_30P_0V_15H.jpg,-1.123,-31.810,0.504,0.499,0.503,0.501,0
0012,0012_2m_30P_0V_5H.jpg,177.288,-32.131,0.502,0.501,0.502,0.501,1
0012,0012_2m_30P_10V_-10H.jpg,-0.672,-33.094,0.504,0.501,0.502,0.503,1
0012,0012_2m_30P_10V_-15H.jpg,177.124,-34.249,0.503,0.500,0.500,0.504,0
0012,0012_2m_30P_10V_-5H.jpg,-1.589,-33.507,0.503,0.501,0.501,0.502,1
0012,0012_2m_30P_10V_0H.jpg,-0.238,-32.649,0.503,0.500,0.502,0.502,1
0012,0012_2m_30P_10V_10H.jpg,-0.666,-32.988,0.503,0.501,0.503,0.501,1
0012,0012_2m_30P_10V_15H.jpg,-0.086,-33.872,0.504,0.499,0.504,0.500,0
0012,0012_2m_30P_10V_5H.jpg,-0.708,-33.962,0.503,0.500,0.503,0.501,1
0013,0013_2m_-15P_-10V_-10H.jpg,1.492,21.856,0.500,0.500,0.496,0.498,1
0013,0013_2m_-15P_-10V_-15H.jpg,1.553,20.629,0.500,0.500,0.496,0.497,0
0013,0013_2m_-15P_-10V_-5H.jpg,1.464,21.246,0.499,0.500,0.498,0.498,1
0013,0013_2m_-15P_-10V_0H.jpg,1.596,20.399,0.500,0.501,0.499,0.499,1
0013,0013_2m_-15P_-10V_10H.jpg,1.952,21.597,0.501,0.501,0.499,0.500,1
0013,0013_2m_-15P_-10V_15H.jpg,1.964,21.488,0.501,0.500,0.498,0.499,0
0013,0013_2m_-15P_-10V_5H.jpg,1.860,21.404,0.501,0.501,0.499,0.500,1
0013,0013_2m_-15P_0V_-10H.jpg,2.176,22.087,0.500,0.499,0.496,0.497,1
0013,0013_2m_-15P_0V_-15H.jpg,2.093,21.724,0.500,0.500,0.497,0.498,0
0013,0013_2m_-15P_0V_-5H.jpg,1.470,22.718,0.499,0.500,0.498,0.498,1
0013,0013_2m_-15P_0V_0H.jpg,2.173,22.906,0.500,0.500,0.498,0.498,1
0013,0013_2m_-15P_0V_10H.jpg,2.193,21.411,0.502,0.501,0.499,0.500,1
0013,0013_2m_-15P_0V_15H.jpg,2.123,22.299,0.502,0.501,0.499,0.499,0
0013,0013_2m_-15P_0V_5H.jpg,2.072,22.079,0.501,0.500,0.499,0.499,1
0013,0013_2m_-15P_10V_-10H.jpg,2.153,22.914,0.500,0.499,0.497,0.497,1
0013,0013_2m_-15P_10V_-15H.jpg,2.115,23.230,0.500,0.499,0.496,0.497,0
0013,0013_2m_-15P_10V_-5H.jpg,2.418,23.072,0.499,0.499,0.498,0.498,1
0013,0013_2m_-15P_10V_0H.jpg,2.078,24.814,0.500,0.500,0.499,0.499,1
0013,0013_2m_-15P_10V_10H.jpg,2.385,21.258,0.502,0.501,0.498,0.499,1
0013,0013_2m_-15P_10V_15H.jpg,2.276,22.877,0.502,0.500,0.498,0.499,0
0013,0013_2m_-15P_10V_5H.jpg,2.582,21.641,0.500,0.500,0.497,0.498,1
0013,0013_2m_-30P_-10V_-10H.jpg,-179.837,36.249,0.500,0.503,0.498,0.500,1
0013,0013_2m_-30P_-10V_-15H.jpg,-179.632,36.492,0.500,0.502,0.496,0.499,0
0013,0013_2m_-30P_-10V_-5H.jpg,-0.775,32.826,0.501,0.502,0.499,0.500,1
0013,0013_2m_-30P_-10V_0H.jpg,-179.419,35.616,0.501,0.502,0.498,0.500,1
0013,0013_2m_-30P_-10V_10H.jpg,-179.584,35.811,0.503,0.502,0.498,0.500,1
0013,0013_2m_-30P_-10V_15H.jpg,-178.612,37.546,0.502,0.502,0.499,0.500,0
0013,0013_2m_-30P_-10V_5H.jpg,-179.247,36.130,0.502,0.503,0.498,0.500,1
0013,0013_2m_-30P_0V_-10H.jpg,179.911,36.582,0.500,0.501,0.496,0.499,1
0013,0013_2m_-30P_0V_-15H.jpg,-179.550,36.129,0.499,0.502,0.496,0.498,0
0013,0013_2m_-30P_0V_-5H.jpg,-179.744,36.176,0.501,0.501,0.498,0.499,1
0013,0013_2m_-30P_0V_0H.jpg,179.504,36.839,0.501,0.501,0.498,0.499,1
0013,0013_2m_-30P_0V_10H.jpg,-179.664,38.198,0.503,0.503,0.499,0.500,1
0013,0013_2m_-30P_0V_15H.jpg,-179.609,37.532,0.503,0.504,0.499,0.500,0
0013,0013_2m_-30P_0V_5H.jpg,-179.007,37.081,0.502,0.501,0.498,0.500,1
0013,0013_2m_-30P_10V_-10H.jpg,-179.373,37.259,0.499,0.501,0.496,0.498,1
0013,0013_2m_-30P_10V_-15H.jpg,-179.442,37.510,0.499,0.500,0.496,0.497,0
0013,0013_2m_-30P_10V_-5H.jpg,179.630,38.303,0.501,0.501,0.498,0.499,1
0013,0013_2m_-30P_10V_0H.jpg,-179.833,38.022,0.501,0.500,0.499,0.500,1
0013,0013_2m_-30P_10V_10H.jpg,179.980,37.172,0.503,0.502,0.499,0.500,1
0013,0013_2m_-30P_10V_15H.jpg,-179.940,38.152,0.503,0.502,0.499,0.499,0
0013,0013_2m_-30P_10V_5H.jpg,179.795,38.208,0.502,0.500,0.499,0.500,1
0013,0013_2m_0P_-10V_-10H.jpg,1.727,-2.471,0.500,0.500,0.499,0.497,1
0013,0013_2m_0P_-10V_-15H.jpg,1.629,-2.548,0.500,0.499,0.498,0.498,0
0013,0013_2m_0P_-10V_-5H.jpg,1.739,-1.399,0.501,0.499,0.499,0.498,1
0013,0013_2m_0P_-10V_0H.jpg,0.916,-3.984,0.501,0.499,0.500,0.498,1
0013,0013_2m_0P_-10V_10H.jpg,1.032,-2.629,0.502,0.498,0.500,0.499,1
0013,0013_2m_0P_-10V_15H.jpg,0.690,-0.720,0.504,0.499,0.500,0.499,0
0013,0013_2m_0P_-10V_5H.jpg,1.075,-2.633,0.501,0.499,0.500,0.499,1
0013,0013_2m_0P_0V_-10H.jpg,0.649,-3.024,0.501,0.499,0.499,0.497,1
0013,0013_2m_0P_0V_-15H.jpg,0.768,-6.514,0.501,0.499,0.498,0.497,0
0013,0013_2m_0P_0V_-5H.jpg,0.911,-3.089,0.501,0.499,0.498,0.498,1
0013,0013_2m_0P_0V_0H.jpg,1.669,-5.189,0.500,0.498,0.499,0.497,1
0013,0013_2m_0P_0V_10H.jpg,0.894,-1.778,0.502,0.498,0.500,0.498,1
0013,0013_2m_0P_0V_15H.jpg,0.824,-0.503,0.503,0.498,0.500,0.499,0
0013,0013_2m_0P_0V_5H.jpg,1.077,-0.487,0.500,0.498,0.500,0.498,1
0013,0013_2m_0P_10V_-10H.jpg,1.029,-4.148,0.502,0.499,0.499,0.496,1
0013,0013_2m_0P_10V_-15H.jpg,1.088,-0.987,0.501,0.499,0.497,0.496,0
0013,0013_2m_0P_10V_-5H.jpg,1.245,-5.364,0.501,0.499,0.500,0.497,1
0013,0013_2m_0P_10V_0H.jpg,1.377,-8.294,0.501,0.497,0.499,0.497,1
0013,0013_2m_0P_10V_10H.jpg,1.438,-7.770,0.501,0.497,0.500,0.498,1
0013,0013_2m_0P_10V_15H.jpg,1.622,-6.750,0.502,0.496,0.501,0.498,0
0013,0013_2m_0P_10V_5H.jpg,1.063,-2.968,0.501,0.498,0.500,0.498,1
0013,0013_2m_15P_-10V_-10H.jpg,0.889,-30.540,0.501,0.501,0.499,0.502,1
0013,0013_2m_15P_-10V_-15H.jpg,1.103,-29.280,0.502,0.501,0.500,0.502,0
0013,0013_2m_15P_-10V_-5H.jpg,0.830,-29.878,0.501,0.501,0.500,0.502,1
0013,0013_2m_15P_-10V_0H.jpg,1.493,-28.121,0.502,0.500,0.501,0.501,1
0013,0013_2m_15P_-10V_10H.jpg,1.871,-26.583,0.502,0.499,0.502,0.501,1
0013,0013_2m_15P_-10V_15H.jpg,2.278,-28.488,0.503,0.499,0.501,0.500,0
0013,0013_2m_15P_-10V_5H.jpg,1.587,-28.694,0.504,0.499,0.501,0.501,1
0013,0013_2m_15P_0V_-10H.jpg,0.937,-30.684,0.501,0.501,0.500,0.501,1
0013,0013_2m_15P_0V_-15H.jpg,1.143,-29.718,0.502,0.501,0.500,0.501,0
0013,0013_2m_15P_0V_-5H.jpg,1.393,-30.248,0.502,0.500,0.501,0.500,1
0013,0013_2m_15P_0V_0H.jpg,1.101,-28.857,0.502,0.499,0.501,0.500,1
0013,0013_2m_15P_0V_10H.jpg,1.415,-29.914,0.503,0.498,0.501,0.500,1
0013,0013_2m_15P_0V_15H.jpg,1.572,-29.428,0.503,0.498,0.502,0.499,0
0013,0013_2m_15P_0V_5H.jpg,1.897,-28.629,0.503,0.498,0.501,0.501,1
0013,0013_2m_15P_10V_-10H.jpg,0.739,-31.357,0.501,0.501,0.500,0.500,1
0013,0013_2m_15P_10V_-15H.jpg,0.916,-31.469,0.501,0.502,0.500,0.501,0
0013,0013_2m_15P_10V_-5H.jpg,0.984,-30.533,0.501,0.501,0.500,0.500,1
0013,0013_2m_15P_10V_0H.jpg,1.497,-29.744,0.502,0.499,0.501,0.499,1
0013,0013_2m_15P_10V_10H.jpg,0.846,-31.259,0.503,0.497,0.501,0.500,1
0013,0013_2m_15P_10V_15H.jpg,1.390,-30.167,0.502,0.496,0.502,0.499,0
0013,0013_2m_15P_10V_5H.jpg,1.886,-29.638,0.503,0.499,0.501,0.501,1
0013,0013_2m_30P_-10V_-10H.jpg,179.044,-37.459,0.502,0.501,0.500,0.505,1
0013,0013_2m_30P_-10V_-15H.jpg,0.834,-35.600,0.502,0.502,0.501,0.506,0
0013,0013_2m_30P_-10V_-5H.jpg,179.792,-38.208,0.502,0.501,0.501,0.505,1
0013,0013_2m_30P_-10V_0H.jpg,-0.490,-34.670,0.502,0.500,0.501,0.504,1
0013,0013_2m_30P_-10V_10H.jpg,0.748,-34.981,0.503,0.499,0.501,0.503,1
0013,0013_2m_30P_-10V_15H.jpg,0.423,-35.384,0.503,0.500,0.501,0.503,0
0013,0013_2m_30P_-10V_5H.jpg,0.582,-34.991,0.503,0.500,0.501,0.504,1
0013,0013_2m_30P_0V_-10H.jpg,178.912,-37.512,0.502,0.501,0.499,0.505,1
0013,0013_2m_30P_0V_-15H.jpg,178.780,-39.161,0.503,0.502,0.500,0.505,0
0013,0013_2m_30P_0V_-5H.jpg,178.405,-38.211,0.502,0.501,0.500,0.504,1
0013,0013_2m_30P_0V_0H.jpg,-1.025,-35.933,0.502,0.500,0.500,0.503,1
0013,0013_2m_30P_0V_10H.jpg,-0.689,-36.292,0.503,0.498,0.501,0.502,1
0013,0013_2m_30P_0V_15H.jpg,-0.592,-35.287,0.503,0.498,0.501,0.501,0
0013,0013_2m_30P_0V_5H.jpg,-0.397,-36.904,0.502,0.499,0.501,0.502,1
0013,0013_2m_30P_10V_-10H.jpg,178.358,-38.369,0.502,0.501,0.500,0.505,1
0013,0013_2m_30P_10V_-15H.jpg,178.608,-38.956,0.502,0.502,0.501,0.505,0
0013,0013_2m_30P_10V_-5H.jpg,178.171,-38.979,0.501,0.502,0.500,0.504,1
0013,0013_2m_30P_10V_0H.jpg,177.891,-39.725,0.502,0.500,0.500,0.503,1
0013,0013_2m_30P_10V_10H.jpg,178.007,-38.883,0.503,0.498,0.501,0.501,1
0013,0013_2m_30P_10V_15H.jpg,-0.698,-37.964,0.503,0.497,0.501,0.501,0
0013,0013_2m_30P_10V_5H.jpg,-1.092,-38.093,0.503,0.499,0.500,0.501,1
